local,gol_local,visitante,gol_visitante
Barracas Central,0,Gimnasia y Esgrima (LP),2
Vélez Sarsfield,0,Banfield,0
Argentinos Juniors,2,Huracán,1
Arsenal,2,Colón,2
River Plate,0,Independiente,2
Colón,2,Atlético Tucumán,0
Rosario Central,0,Argentinos Juniors,1
Instituto,2,Vélez Sarsfield,1
Huracán,2,Barracas Central,2
Gimnasia y Esgrima (LP),0,River Plate,2
Independiente,0,Arsenal,0
Talleres (C),1,Banfield,2
Banfield,2,Colón,2
Barracas Central,1,Rosario Central,0
Vélez Sarsfield,2,Talleres (C),1
Arsenal,2,Gimnasia y Esgrima (LP),1
Argentinos Juniors,2,Instituto,2
Atlético Tucumán,0,Independiente,0
River Plate,2,Huracán,1
Independiente,2,Banfield,2
Instituto,0,Barracas Central,2
Argentinos Juniors,1,Vélez Sarsfield,1
Colón,2,Talleres (C),2
Rosario Central,1,River Plate,1
Gimnasia y Esgrima (LP),0,Atlético Tucumán,0
Huracán,1,Arsenal,0
Arsenal,1,Rosario Central,1
Banfield,0,Gimnasia y Esgrima (LP),2
Vélez Sarsfield,2,Colón,0
Atlético Tucumán,0,Huracán,2
River Plate,1,Instituto,1
Talleres (C),1,Independiente,1
Barracas Central,1,Argentinos Juniors,1
Boca Juniors,2,Platense,0
Belgrano,1,Estudiantes (LP),0
Unión,2,Racing Club,1
Central Córdoba (SdE),1,Newell's Old Boys,0
Defensa y Justicia,2,Godoy Cruz,2
Lanús,3,San Lorenzo,0
Sarmiento (J),2,Tigre,2
Platense,2,Defensa y Justicia,1
Godoy Cruz,2,Central Córdoba (SdE),2
San Lorenzo,2,Belgrano,2
Sarmiento (J),0,Boca Juniors,1
Tigre,2,Racing Club,2
Newell's Old Boys,1,Lanús,0
Estudiantes (LP),2,Unión,1
Belgrano,2,Newell's Old Boys,2
Lanús,2,Godoy Cruz,2
Defensa y Justicia,0,Sarmiento (J),0
Racing Club,1,Estudiantes (LP),2
Boca Juniors,0,Tigre,0
Central Córdoba (SdE),2,Platense,2
Unión,0,San Lorenzo,1
San Lorenzo,1,Racing Club,0
Godoy Cruz,2,Belgrano,0
Newell's Old Boys,4,Unión,1
Tigre,2,Estudiantes (LP),1
Sarmiento (J),1,Central Córdoba (SdE),0
Boca Juniors,2,Defensa y Justicia,0
Platense,2,Lanús,2
Belgrano,2,Platense,0
Defensa y Justicia,2,Tigre,0
Estudiantes (LP),1,San Lorenzo,1
Racing Club,1,Newell's Old Boys,1
Lanús,1,Sarmiento (J),0
Unión,3,Godoy Cruz,2
Central Córdoba (SdE),0,Boca Juniors,1
Godoy Cruz,2,Racing Club,2
Sarmiento (J),2,Belgrano,2
Platense,0,Unión,1
Newell's Old Boys,1,Estudiantes (LP),1
Boca Juniors,1,Lanús,2
Defensa y Justicia,3,Central Córdoba (SdE),2
Tigre,2,San Lorenzo,1
Platense,0,Argentinos Juniors,0
Boca Juniors,0,River Plate,2
Estudiantes (LP),1,Gimnasia y Esgrima (LP),2
San Lorenzo,1,Huracán,1
Defensa y Justicia,0,Arsenal,2
Racing Club,2,Independiente,0
Belgrano,1,Boca Juniors,1
Estudiantes (LP),1,Godoy Cruz,1
Racing Club,2,Platense,2
Unión,0,Sarmiento (J),2
San Lorenzo,4,Newell's Old Boys,0
Central Córdoba (SdE),4,Tigre,1
Lanús,2,Defensa y Justicia,1
Boca Juniors,0,Unión,3
Sarmiento (J),0,Racing Club,2
Tigre,1,Newell's Old Boys,2
Central Córdoba (SdE),2,Lanús,2
Defensa y Justicia,2,Belgrano,1
Godoy Cruz,0,San Lorenzo,2
Platense,0,Estudiantes (LP),2
Belgrano,0,Central Córdoba (SdE),0
Lanús,0,Tigre,2
Estudiantes (LP),0,Sarmiento (J),0
Newell's Old Boys,2,Godoy Cruz,0
Racing Club,2,Boca Juniors,1
San Lorenzo,4,Platense,1
Unión,0,Defensa y Justicia,2
Defensa y Justicia,0,Racing Club,0
Platense,2,Newell's Old Boys,2
Central Córdoba (SdE),3,Unión,1
Lanús,3,Belgrano,0
Boca Juniors,4,Estudiantes (LP),0
Sarmiento (J),2,San Lorenzo,1
Tigre,2,Godoy Cruz,2
Godoy Cruz,3,Platense,1
Belgrano,1,Tigre,0
Racing Club,1,Central Córdoba (SdE),0
San Lorenzo,0,Boca Juniors,0
Unión,1,Lanús,1
Estudiantes (LP),3,Defensa y Justicia,2
Newell's Old Boys,4,Sarmiento (J),0
Central Córdoba (SdE),1,Estudiantes (LP),1
Sarmiento (J),1,Godoy Cruz,0
Belgrano,0,Unión,2
Boca Juniors,1,Newell's Old Boys,0
Defensa y Justicia,0,San Lorenzo,2
Lanús,2,Racing Club,2
Tigre,3,Platense,2
Godoy Cruz,0,Boca Juniors,2
Newell's Old Boys,2,Defensa y Justicia,0
Estudiantes (LP),1,Lanús,1
Platense,1,Sarmiento (J),2
Racing Club,1,Belgrano,0
San Lorenzo,1,Central Córdoba (SdE),0
Unión,1,Tigre,1
Argentinos Juniors,1,Lanús,2
Instituto,0,Newell's Old Boys,1
Newell's Old Boys,0,Instituto,0
Newell's Old Boys,0,Instituto,0
Newell's Old Boys,0,Instituto,1
San Lorenzo,2,Rosario Central,1
Lanús,2,Newell's Old Boys,1
Instituto,3,San Lorenzo,1
Lanús,1,Instituto,0
Independiente,1,Colón,2
Argentinos Juniors,1,River Plate,2
Gimnasia y Esgrima (LP),0,Talleres (C),0
Vélez Sarsfield,2,Barracas Central,0
Huracán,1,Banfield,0
Rosario Central,1,Atlético Tucumán,0
Instituto,1,Arsenal,0
Atlético Tucumán,0,Instituto,1
Arsenal,0,Argentinos Juniors,1
Banfield,0,Rosario Central,1
Colón,0,Gimnasia y Esgrima (LP),1
River Plate,2,Barracas Central,0
Talleres (C),2,Huracán,1
Independiente,2,Vélez Sarsfield,2
Argentinos Juniors,0,Atlético Tucumán,1
Barracas Central,1,Arsenal,2
Huracán,2,Colón,0
Rosario Central,0,Talleres (C),0
Gimnasia y Esgrima (LP),0,Independiente,2
Instituto,2,Banfield,1
Vélez Sarsfield,0,River Plate,2
Independiente,2,Huracán,1
Atlético Tucumán,2,Barracas Central,0
Banfield,0,Argentinos Juniors,2
Gimnasia y Esgrima (LP),2,Vélez Sarsfield,1
Colón,1,Rosario Central,1
Arsenal,0,River Plate,0
Talleres (C),2,Instituto,0
Argentinos Juniors,1,Talleres (C),0
Vélez Sarsfield,2,Arsenal,0
River Plate,1,Atlético Tucumán,0
Rosario Central,2,Independiente,2
Instituto,1,Colón,0
Barracas Central,1,Banfield,2
Huracán,1,Gimnasia y Esgrima (LP),0
Atlético Tucumán,2,Arsenal,1
Talleres (C),2,Barracas Central,0
Gimnasia y Esgrima (LP),0,Rosario Central,0
Independiente,2,Instituto,2
Banfield,1,River Plate,0
Colón,2,Argentinos Juniors,2
Huracán,1,Vélez Sarsfield,0
Rosario Central,0,Newell's Old Boys,2
Instituto,2,Godoy Cruz,0
Talleres (C),2,Belgrano,1
Vélez Sarsfield,2,Tigre,2
Banfield,2,Lanús,1
Atlético Tucumán,2,Central Córdoba (SdE),2
Barracas Central,1,Sarmiento (J),0
Colón,1,Unión,2
Arsenal,1,Banfield,2
Barracas Central,2,Colón,1
River Plate,0,Talleres (C),1
Instituto,0,Gimnasia y Esgrima (LP),1
Vélez Sarsfield,1,Atlético Tucumán,0
Rosario Central,0,Huracán,0
Argentinos Juniors,1,Independiente,1
Talleres (C),2,Arsenal,2
Banfield,0,Atlético Tucumán,1
Colón,2,River Plate,2
Gimnasia y Esgrima (LP),1,Argentinos Juniors,1
Independiente,2,Barracas Central,1
Huracán,2,Instituto,1
Rosario Central,2,Vélez Sarsfield,2
Atlético Tucumán,2,Talleres (C),1
Instituto,2,Rosario Central,0
Barracas Central,1,Gimnasia y Esgrima (LP),0
Vélez Sarsfield,2,Banfield,2
Argentinos Juniors,1,Huracán,1
Arsenal,3,Colón,0
River Plate,2,Independiente,0
Colón,1,Atlético Tucumán,0
Rosario Central,3,Argentinos Juniors,2
Instituto,2,Vélez Sarsfield,2
Huracán,0,Barracas Central,2
Gimnasia y Esgrima (LP),0,River Plate,0
Independiente,2,Arsenal,2
Talleres (C),2,Banfield,0
Banfield,2,Colón,1
Barracas Central,2,Rosario Central,0
Vélez Sarsfield,2,Talleres (C),1
Arsenal,1,Gimnasia y Esgrima (LP),2
Argentinos Juniors,2,Instituto,1
Atlético Tucumán,1,Independiente,0
River Plate,1,Huracán,0
Independiente,0,Banfield,1
Instituto,0,Barracas Central,2
Argentinos Juniors,2,Vélez Sarsfield,0
Colón,2,Talleres (C),2
Rosario Central,2,River Plate,2
Gimnasia y Esgrima (LP),0,Atlético Tucumán,0
Huracán,2,Arsenal,2
Arsenal,2,Rosario Central,1
Banfield,0,Gimnasia y Esgrima (LP),0
Vélez Sarsfield,2,Colón,1
Atlético Tucumán,2,Huracán,1
River Plate,0,Instituto,0
Talleres (C),0,Independiente,2
Barracas Central,2,Argentinos Juniors,0
Boca Juniors,1,Platense,0
Belgrano,0,Estudiantes (LP),2
Unión,2,Racing Club,2
Central Córdoba (SdE),0,Newell's Old Boys,0
Defensa y Justicia,0,Godoy Cruz,0
Lanús,1,San Lorenzo,1
Sarmiento (J),1,Tigre,2
Platense,0,Defensa y Justicia,1
Godoy Cruz,2,Central Córdoba (SdE),1
San Lorenzo,0,Belgrano,1
Sarmiento (J),2,Boca Juniors,1
Tigre,2,Racing Club,2
Newell's Old Boys,2,Lanús,0
Estudiantes (LP),2,Unión,0
Belgrano,1,Newell's Old Boys,0
Lanús,2,Godoy Cruz,0
Defensa y Justicia,1,Sarmiento (J),0
Racing Club,2,Estudiantes (LP),0
Boca Juniors,0,Tigre,0
Central Córdoba (SdE),2,Platense,1
Unión,2,San Lorenzo,2
San Lorenzo,0,Racing Club,2
Godoy Cruz,2,Belgrano,1
Newell's Old Boys,1,Unión,0
Tigre,1,Estudiantes (LP),0
Sarmiento (J),0,Central Córdoba (SdE),0
Boca Juniors,2,Defensa y Justicia,1
Platense,1,Lanús,1
Belgrano,2,Platense,0
Defensa y Justicia,1,Tigre,2
Estudiantes (LP),1,San Lorenzo,1
Racing Club,2,Newell's Old Boys,0
Lanús,0,Sarmiento (J),0
Unión,1,Godoy Cruz,1
Central Córdoba (SdE),0,Boca Juniors,0
Godoy Cruz,2,Racing Club,1
Sarmiento (J),1,Belgrano,0
Platense,0,Unión,1
Newell's Old Boys,1,Estudiantes (LP),2
Boca Juniors,2,Lanús,2
Defensa y Justicia,1,Central Córdoba (SdE),0
Tigre,0,San Lorenzo,2
Platense,0,Argentinos Juniors,1
Boca Juniors,1,River Plate,2
Estudiantes (LP),2,Gimnasia y Esgrima (LP),2
San Lorenzo,0,Huracán,2
Defensa y Justicia,2,Arsenal,0
Racing Club,1,Independiente,0
Belgrano,2,Boca Juniors,0
Estudiantes (LP),0,Godoy Cruz,2
Racing Club,2,Platense,0
Unión,0,Sarmiento (J),0
San Lorenzo,1,Newell's Old Boys,1
Central Córdoba (SdE),0,Tigre,2
Lanús,0,Defensa y Justicia,2
Boca Juniors,1,Unión,1
Sarmiento (J),2,Racing Club,1
Tigre,2,Newell's Old Boys,4
Central Córdoba (SdE),2,Lanús,0
Defensa y Justicia,1,Belgrano,2
Godoy Cruz,2,San Lorenzo,0
Platense,1,Estudiantes (LP),0
Belgrano,1,Central Córdoba (SdE),1
Lanús,0,Tigre,2
Estudiantes (LP),2,Sarmiento (J),0
Newell's Old Boys,2,Godoy Cruz,0
Racing Club,3,Boca Juniors,0
San Lorenzo,0,Platense,1
Unión,0,Defensa y Justicia,2
Defensa y Justicia,2,Racing Club,2
Platense,2,Newell's Old Boys,1
Central Córdoba (SdE),1,Unión,2
Lanús,1,Belgrano,0
Boca Juniors,2,Estudiantes (LP),0
Sarmiento (J),2,San Lorenzo,0
Tigre,2,Godoy Cruz,2
Godoy Cruz,2,Platense,2
Belgrano,1,Tigre,0
Racing Club,1,Central Córdoba (SdE),0
San Lorenzo,0,Boca Juniors,1
Unión,2,Lanús,2
Estudiantes (LP),0,Defensa y Justicia,0
Newell's Old Boys,2,Sarmiento (J),2
Central Córdoba (SdE),0,Estudiantes (LP),0
Sarmiento (J),1,Godoy Cruz,1
Belgrano,1,Unión,1
Boca Juniors,1,Newell's Old Boys,0
Defensa y Justicia,2,San Lorenzo,0
Lanús,0,Racing Club,1
Tigre,0,Platense,2
Godoy Cruz,0,Boca Juniors,1
Newell's Old Boys,3,Defensa y Justicia,2
Estudiantes (LP),1,Lanús,0
Platense,2,Sarmiento (J),3
Racing Club,0,Belgrano,0
San Lorenzo,0,Central Córdoba (SdE),0
Unión,1,Tigre,2
Atlético Tucumán,1,Belgrano,0
Talleres (C),1,Boca Juniors,2
Boca Juniors,2,Talleres (C),1
Racing Club,1,Barracas Central,0
Atlético Tucumán,0,Boca Juniors,2
Boca Juniors,1,Racing Club,0
Boca Juniors,0,Boca Juniors,2
Independiente,2,Colón,2
Argentinos Juniors,2,River Plate,2
Gimnasia y Esgrima (LP),0,Talleres (C),0
Vélez Sarsfield,1,Barracas Central,2
Huracán,0,Banfield,2
Rosario Central,0,Atlético Tucumán,0
Instituto,2,Arsenal,1
Atlético Tucumán,1,Instituto,2
Arsenal,2,Argentinos Juniors,0
Banfield,2,Rosario Central,2
Colón,0,Gimnasia y Esgrima (LP),2
River Plate,3,Barracas Central,1
Talleres (C),2,Huracán,1
Independiente,2,Vélez Sarsfield,1
Argentinos Juniors,0,Atlético Tucumán,0
Barracas Central,0,Arsenal,1
Huracán,3,Colón,0
Rosario Central,1,Talleres (C),2
Gimnasia y Esgrima (LP),2,Independiente,1
Instituto,1,Banfield,0
Vélez Sarsfield,0,River Plate,2
Independiente,4,Huracán,1
Atlético Tucumán,2,Barracas Central,1
Banfield,0,Argentinos Juniors,1
Gimnasia y Esgrima (LP),1,Vélez Sarsfield,2
Colón,0,Rosario Central,0
Arsenal,2,River Plate,2
Talleres (C),2,Instituto,0
Argentinos Juniors,2,Talleres (C),1
Vélez Sarsfield,1,Arsenal,1
River Plate,0,Atlético Tucumán,0
Rosario Central,1,Independiente,2
Instituto,0,Colón,2
Barracas Central,0,Banfield,2
Huracán,1,Gimnasia y Esgrima (LP),2
Atlético Tucumán,0,Arsenal,0
Talleres (C),2,Barracas Central,2
Gimnasia y Esgrima (LP),1,Rosario Central,0
Independiente,1,Instituto,2
Banfield,1,River Plate,2
Colón,1,Argentinos Juniors,1
Huracán,0,Vélez Sarsfield,0
Rosario Central,1,Newell's Old Boys,2
Instituto,0,Godoy Cruz,1
Talleres (C),1,Belgrano,2
Vélez Sarsfield,0,Tigre,2
Banfield,1,Lanús,1
Atlético Tucumán,3,Central Córdoba (SdE),1
Barracas Central,0,Sarmiento (J),0
Colón,2,Unión,2
Arsenal,2,Banfield,1
Barracas Central,3,Colón,1
River Plate,2,Talleres (C),2
Instituto,2,Gimnasia y Esgrima (LP),0
Vélez Sarsfield,1,Atlético Tucumán,3
Rosario Central,4,Huracán,1
Argentinos Juniors,2,Independiente,2
Talleres (C),2,Arsenal,1
Banfield,0,Atlético Tucumán,0
Colón,1,River Plate,3
Gimnasia y Esgrima (LP),2,Argentinos Juniors,2
Independiente,2,Barracas Central,1
Huracán,1,Instituto,2
Rosario Central,2,Vélez Sarsfield,0
Atlético Tucumán,0,Talleres (C),2
Instituto,2,Rosario Central,1
Barracas Central,2,Gimnasia y Esgrima (LP),1
Vélez Sarsfield,0,Banfield,1
Argentinos Juniors,0,Huracán,0
Arsenal,2,Colón,0
River Plate,2,Independiente,1
Colón,1,Atlético Tucumán,1
Rosario Central,1,Argentinos Juniors,2
Instituto,0,Vélez Sarsfield,1
Huracán,2,Barracas Central,0
Gimnasia y Esgrima (LP),0,River Plate,2
Independiente,2,Arsenal,2
Talleres (C),2,Banfield,1
Banfield,2,Colón,1
Barracas Central,2,Rosario Central,1
Vélez Sarsfield,1,Talleres (C),0
Arsenal,0,Gimnasia y Esgrima (LP),1
Argentinos Juniors,2,Instituto,0
Atlético Tucumán,0,Independiente,1
River Plate,2,Huracán,1
Independiente,2,Banfield,0
Instituto,2,Barracas Central,2
Argentinos Juniors,2,Vélez Sarsfield,2
Colón,0,Talleres (C),1
Rosario Central,1,River Plate,1
Gimnasia y Esgrima (LP),2,Atlético Tucumán,0
Huracán,1,Arsenal,2
Arsenal,1,Rosario Central,0
Banfield,2,Gimnasia y Esgrima (LP),0
Vélez Sarsfield,1,Colón,0
Atlético Tucumán,1,Huracán,1
River Plate,2,Instituto,1
Talleres (C),2,Independiente,0
Barracas Central,0,Argentinos Juniors,2
Boca Juniors,1,Platense,0
Belgrano,1,Estudiantes (LP),1
Unión,0,Racing Club,2
Central Córdoba (SdE),2,Newell's Old Boys,2
Defensa y Justicia,0,Godoy Cruz,1
Lanús,3,San Lorenzo,1
Sarmiento (J),2,Tigre,1
Platense,2,Defensa y Justicia,1
Godoy Cruz,1,Central Córdoba (SdE),0
San Lorenzo,2,Belgrano,2
Sarmiento (J),1,Boca Juniors,0
Tigre,2,Racing Club,1
Newell's Old Boys,2,Lanús,1
Estudiantes (LP),2,Unión,2
Belgrano,0,Newell's Old Boys,0
Lanús,1,Godoy Cruz,0
Defensa y Justicia,2,Sarmiento (J),2
Racing Club,1,Estudiantes (LP),3
Boca Juniors,2,Tigre,1
Central Córdoba (SdE),0,Platense,0
Unión,2,San Lorenzo,1
San Lorenzo,2,Racing Club,3
Godoy Cruz,2,Belgrano,2
Newell's Old Boys,1,Unión,2
Tigre,0,Estudiantes (LP),2
Sarmiento (J),0,Central Córdoba (SdE),1
Boca Juniors,2,Defensa y Justicia,1
Platense,2,Lanús,0
Belgrano,0,Platense,0
Defensa y Justicia,2,Tigre,0
Estudiantes (LP),2,San Lorenzo,2
Racing Club,1,Newell's Old Boys,0
Lanús,0,Sarmiento (J),0
Unión,2,Godoy Cruz,1
Central Córdoba (SdE),1,Boca Juniors,1
Godoy Cruz,0,Racing Club,1
Sarmiento (J),2,Belgrano,1
Platense,0,Unión,1
Newell's Old Boys,0,Estudiantes (LP),1
Boca Juniors,1,Lanús,0
Defensa y Justicia,4,Central Córdoba (SdE),2
Tigre,1,San Lorenzo,1
Platense,0,Argentinos Juniors,1
Boca Juniors,0,River Plate,1
Estudiantes (LP),2,Gimnasia y Esgrima (LP),2
San Lorenzo,1,Huracán,0
Defensa y Justicia,1,Arsenal,0
Racing Club,1,Independiente,0
Belgrano,2,Boca Juniors,1
Estudiantes (LP),2,Godoy Cruz,0
Racing Club,1,Platense,1
Unión,2,Sarmiento (J),0
San Lorenzo,1,Newell's Old Boys,0
Central Córdoba (SdE),0,Tigre,2
Lanús,0,Defensa y Justicia,0
Boca Juniors,0,Unión,0
Sarmiento (J),2,Racing Club,1
Tigre,1,Newell's Old Boys,0
Central Córdoba (SdE),2,Lanús,2
Defensa y Justicia,2,Belgrano,2
Godoy Cruz,1,San Lorenzo,0
Platense,2,Estudiantes (LP),2
Belgrano,2,Central Córdoba (SdE),0
Lanús,1,Tigre,2
Estudiantes (LP),0,Sarmiento (J),0
Newell's Old Boys,2,Godoy Cruz,0
Racing Club,0,Boca Juniors,2
San Lorenzo,2,Platense,0
Unión,2,Defensa y Justicia,0
Defensa y Justicia,2,Racing Club,2
Platense,1,Newell's Old Boys,0
Central Córdoba (SdE),0,Unión,2
Lanús,2,Belgrano,2
Boca Juniors,2,Estudiantes (LP),1
Sarmiento (J),0,San Lorenzo,2
Tigre,0,Godoy Cruz,0
Godoy Cruz,0,Platense,3
Belgrano,0,Tigre,2
Racing Club,1,Central Córdoba (SdE),0
San Lorenzo,0,Boca Juniors,0
Unión,1,Lanús,0
Estudiantes (LP),1,Defensa y Justicia,1
Newell's Old Boys,0,Sarmiento (J),0
Central Córdoba (SdE),0,Estudiantes (LP),2
Sarmiento (J),0,Godoy Cruz,1
Belgrano,0,Unión,2
Boca Juniors,2,Newell's Old Boys,0
Defensa y Justicia,0,San Lorenzo,1
Lanús,0,Racing Club,1
Tigre,0,Platense,0
Godoy Cruz,0,Boca Juniors,2
Newell's Old Boys,2,Defensa y Justicia,2
Estudiantes (LP),2,Lanús,2
Platense,0,Sarmiento (J),0
Racing Club,2,Belgrano,1
San Lorenzo,2,Central Córdoba (SdE),0
Unión,2,Tigre,2
River Plate,2,Estudiantes (LP),2
River Plate,2,Estudiantes (LP),1
Argentinos Juniors,0,Racing Club,0
Argentinos Juniors,2,Racing Club,0
Racing Club,0,Argentinos Juniors,2
Unión,0,Arsenal,0
Unión,0,Arsenal,1
River Plate,1,Argentinos Juniors,1
River Plate,2,Argentinos Juniors,0
Argentinos Juniors,2,Arsenal,1
River Plate,2,Argentinos Juniors,1
Independiente,2,Colón,0
Argentinos Juniors,2,River Plate,2
Gimnasia y Esgrima (LP),1,Talleres (C),0
Vélez Sarsfield,1,Barracas Central,0
Huracán,0,Banfield,2
Rosario Central,2,Atlético Tucumán,1
Instituto,1,Arsenal,0
Atlético Tucumán,4,Instituto,1
Arsenal,2,Argentinos Juniors,1
Banfield,2,Rosario Central,0
Colón,2,Gimnasia y Esgrima (LP),0
River Plate,2,Barracas Central,0
Talleres (C),0,Huracán,1
Independiente,2,Vélez Sarsfield,2
Argentinos Juniors,2,Atlético Tucumán,0
Barracas Central,3,Arsenal,2
Huracán,1,Colón,0
Rosario Central,1,Talleres (C),0
Gimnasia y Esgrima (LP),2,Independiente,3
Instituto,0,Banfield,0
Vélez Sarsfield,1,River Plate,0
Independiente,1,Huracán,2
Atlético Tucumán,2,Barracas Central,0
Banfield,2,Argentinos Juniors,3
Gimnasia y Esgrima (LP),1,Vélez Sarsfield,1
Colón,1,Rosario Central,0
Arsenal,0,River Plate,2
Talleres (C),1,Instituto,1
Argentinos Juniors,2,Talleres (C),2
Vélez Sarsfield,3,Arsenal,0
River Plate,0,Atlético Tucumán,2
Rosario Central,2,Independiente,2
Instituto,2,Colón,1
Barracas Central,1,Banfield,0
Huracán,1,Gimnasia y Esgrima (LP),0
Atlético Tucumán,2,Arsenal,3
Talleres (C),4,Barracas Central,2
Gimnasia y Esgrima (LP),0,Rosario Central,0
Independiente,4,Instituto,2
Banfield,1,River Plate,2
Colón,2,Argentinos Juniors,2
Huracán,2,Vélez Sarsfield,1
Rosario Central,1,Newell's Old Boys,0
Instituto,0,Godoy Cruz,1
Talleres (C),2,Belgrano,3
Vélez Sarsfield,2,Tigre,1
Banfield,0,Lanús,2
Atlético Tucumán,2,Central Córdoba (SdE),1
Barracas Central,1,Sarmiento (J),1
Colón,0,Unión,2
Arsenal,0,Banfield,0
Barracas Central,2,Colón,0
River Plate,3,Talleres (C),1
Instituto,0,Gimnasia y Esgrima (LP),0
Vélez Sarsfield,1,Atlético Tucumán,0
Rosario Central,2,Huracán,0
Argentinos Juniors,0,Independiente,2
Talleres (C),1,Arsenal,0
Banfield,2,Atlético Tucumán,1
Colón,0,River Plate,2
Gimnasia y Esgrima (LP),2,Argentinos Juniors,0
Independiente,2,Barracas Central,2
Huracán,1,Instituto,2
Rosario Central,0,Vélez Sarsfield,1
Atlético Tucumán,0,Talleres (C),1
Instituto,3,Rosario Central,2
Barracas Central,0,Gimnasia y Esgrima (LP),2
Vélez Sarsfield,0,Banfield,2
Argentinos Juniors,2,Huracán,1
Arsenal,0,Colón,1
River Plate,2,Independiente,1
Colón,0,Atlético Tucumán,0
Rosario Central,2,Argentinos Juniors,0
Instituto,0,Vélez Sarsfield,1
Huracán,2,Barracas Central,3
Gimnasia y Esgrima (LP),0,River Plate,3
Independiente,2,Arsenal,1
Talleres (C),0,Banfield,2
Banfield,2,Colón,0
Barracas Central,2,Rosario Central,0
Vélez Sarsfield,0,Talleres (C),0
Arsenal,2,Gimnasia y Esgrima (LP),1
Argentinos Juniors,2,Instituto,0
Atlético Tucumán,0,Independiente,1
River Plate,2,Huracán,0
Independiente,2,Banfield,2
Instituto,2,Barracas Central,1
Argentinos Juniors,1,Vélez Sarsfield,0
Colón,0,Talleres (C),1
Rosario Central,0,River Plate,2
Gimnasia y Esgrima (LP),0,Atlético Tucumán,0
Huracán,0,Arsenal,2
Arsenal,1,Rosario Central,2
Banfield,2,Gimnasia y Esgrima (LP),2
Vélez Sarsfield,2,Colón,1
Atlético Tucumán,2,Huracán,0
River Plate,0,Instituto,2
Talleres (C),2,Independiente,2
Barracas Central,2,Argentinos Juniors,2
Boca Juniors,2,Platense,0
Belgrano,0,Estudiantes (LP),2
Unión,1,Racing Club,0
Central Córdoba (SdE),2,Newell's Old Boys,2
Defensa y Justicia,2,Godoy Cruz,0
Lanús,2,San Lorenzo,2
Sarmiento (J),0,Tigre,1
Platense,1,Defensa y Justicia,0
Godoy Cruz,2,Central Córdoba (SdE),0
San Lorenzo,1,Belgrano,2
Sarmiento (J),1,Boca Juniors,2
Tigre,2,Racing Club,2
Newell's Old Boys,1,Lanús,2
Estudiantes (LP),0,Unión,2
Belgrano,2,Newell's Old Boys,0
Lanús,2,Godoy Cruz,0
Defensa y Justicia,1,Sarmiento (J),2
Racing Club,1,Estudiantes (LP),2
Boca Juniors,1,Tigre,1
Central Córdoba (SdE),2,Platense,0
Unión,2,San Lorenzo,0
San Lorenzo,2,Racing Club,1
Godoy Cruz,0,Belgrano,0
Newell's Old Boys,1,Unión,0
Tigre,2,Estudiantes (LP),1
Sarmiento (J),0,Central Córdoba (SdE),2
Boca Juniors,0,Defensa y Justicia,0
Platense,2,Lanús,2
Belgrano,1,Platense,2
Defensa y Justicia,0,Tigre,0
Estudiantes (LP),0,San Lorenzo,1
Racing Club,2,Newell's Old Boys,0
Lanús,0,Sarmiento (J),1
Unión,2,Godoy Cruz,2
Central Córdoba (SdE),1,Boca Juniors,2
Godoy Cruz,1,Racing Club,2
Sarmiento (J),2,Belgrano,2
Platense,2,Unión,1
Newell's Old Boys,1,Estudiantes (LP),0
Boca Juniors,0,Lanús,1
Defensa y Justicia,2,Central Córdoba (SdE),0
Tigre,2,San Lorenzo,2
Platense,1,Argentinos Juniors,3
Boca Juniors,0,River Plate,1
Estudiantes (LP),4,Gimnasia y Esgrima (LP),1
San Lorenzo,0,Huracán,1
Defensa y Justicia,1,Arsenal,0
Racing Club,2,Independiente,1
Belgrano,2,Boca Juniors,2
Estudiantes (LP),2,Godoy Cruz,2
Racing Club,2,Platense,0
Unión,2,Sarmiento (J),2
San Lorenzo,2,Newell's Old Boys,0
Central Córdoba (SdE),2,Tigre,1
Lanús,2,Defensa y Justicia,2
Boca Juniors,2,Unión,1
Sarmiento (J),0,Racing Club,0
Tigre,0,Newell's Old Boys,2
Central Córdoba (SdE),1,Lanús,0
Defensa y Justicia,0,Belgrano,0
Godoy Cruz,2,San Lorenzo,0
Platense,2,Estudiantes (LP),2
Belgrano,0,Central Córdoba (SdE),0
Lanús,0,Tigre,0
Estudiantes (LP),1,Sarmiento (J),1
Newell's Old Boys,1,Godoy Cruz,0
Racing Club,0,Boca Juniors,1
San Lorenzo,2,Platense,1
Unión,2,Defensa y Justicia,2
Defensa y Justicia,1,Racing Club,1
Platense,1,Newell's Old Boys,2
Central Córdoba (SdE),2,Unión,1
Lanús,1,Belgrano,0
Boca Juniors,1,Estudiantes (LP),0
Sarmiento (J),0,San Lorenzo,2
Tigre,0,Godoy Cruz,1
Godoy Cruz,1,Platense,0
Belgrano,1,Tigre,0
Racing Club,2,Central Córdoba (SdE),1
San Lorenzo,0,Boca Juniors,0
Unión,3,Lanús,0
Estudiantes (LP),1,Defensa y Justicia,0
Newell's Old Boys,1,Sarmiento (J),1
Central Córdoba (SdE),2,Estudiantes (LP),0
Sarmiento (J),1,Godoy Cruz,2
Belgrano,2,Unión,2
Boca Juniors,0,Newell's Old Boys,1
Defensa y Justicia,1,San Lorenzo,2
Lanús,2,Racing Club,1
Tigre,1,Platense,2
